Date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,DC,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhodie Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,Grand Total
6/16,47,,22,30,11,12,50,31,94,37,31,6,,15,48,43,16,81,55,38,9,51,21,13,2,20,8,,9,91,48,96,20,61,,9,9,32,11,91,36,,27,15,76,,67,71,58,19,4,1641
6/17,47,,16,28,8,68,5,22,,27,9,22,91,26,57,54,45,12,29,5,59,81,10,9,83,16,,6,13,,12,8,9,12,92,22,26,14,15,92,15,,89,14,49,,71,8,60,31,,1487
6/18,6,51,8,44,9,50,8,27,14,32,22,8,,20,19,78,44,58,39,37,15,17,17,54,69,54,,2,10,91,38,,22,16,8,25,54,66,15,0,6,6,15,16,56,0,71,43,71,47,,1478
6/19,9,48,12,38,9,25,12,62,83,27,8,59,8,15,25,58,42,13,32,30,50,17,69,28,12,53,,5,9,10,26,6,28,21,2,10,11,9,17,99,16,64,43,29,8,,55,45,42,36,39,1474
6/20,70,,56,11,19,30,71,65,,22,11,39,59,17,11,64,8,90,17,59,25,15,34,8,74,17,,20,15,76,21,53,21,15,,9,9,43,13,85,22,8,41,17,15,,24,33,20,65,5,1522
6/21,23,,83,44,55,9,12,33,94,63,33,84,92,47,35,25,50,16,54,32,33,42,28,59,79,80,87,36,22,93,17,,45,31,,56,73,14,36,67,64,14,52,53,60,,57,15,61,61,27,2246
6/22,54,7,12,31,32,24,12,74,,60,12,55,50,28,23,57,26,91,29,11,66,22,19,30,48,70,,4,60,11,29,,55,15,,64,82,57,17,5,17,74,43,32,49,91,29,31,46,64,82,1900
6/23,90,,15,85,26,18,20,40,14,83,10,55,93,25,14,93,91,61,56,,15,47,23,90,84,20,,82,26,,57,92,23,57,82,15,79,45,23,,65,74,4,74,82,89,64,50,57,91,,2399
6/24,11,98,9,14,8,19,8,53,5,45,17,30,8,13,16,13,36,62,8,66,56,91,19,83,73,75,,2,22,65,7,,11,69,,12,8,67,9,,56,,88,32,27,84,54,8,33,61,92,1743
6/25,45,73,30,62,13,18,7,63,95,18,9,37,86,10,37,30,90,44,18,,20,59,45,22,59,15,,3,24,,9,93,30,66,,10,55,33,57,,32,25,70,29,61,,45,16,29,50,10,1752
6/26,77,98,30,45,67,64,11,81,5,62,66,65,82,23,42,71,40,52,57,62,56,89,53,44,81,74,91,6,70,,16,,58,46,10,52,13,58,18,72,6,74,66,73,90,,62,20,59,75,,2532
6/27,68,,25,28,31,60,55,84,,66,74,84,94,13,17,36,46,76,88,25,10,13,19,58,20,9,,17,58,4,64,6,60,59,,34,88,17,91,47,93,,41,57,65,,80,76,77,29,,2162
6/28,36,5,43,55,45,56,25,57,14,77,26,15,9,69,46,56,44,76,18,58,33,86,57,68,58,11,2,58,60,61,41,87,74,56,51,40,68,56,69,74,11,9,62,30,83,,60,62,56,88,,2401
6/29,52,93,25,61,71,12,38,53,,86,30,74,91,69,44,81,44,73,12,91,70,29,81,84,82,10,,8,17,57,63,11,39,55,,83,54,44,32,98,93,,22,68,64,,69,38,58,70,,2499
6/30,67,87,30,38,69,64,57,72,,74,17,73,96,57,16,29,32,13,9,23,34,53,57,12,90,20,,2,17,93,45,,36,31,3,39,62,38,32,2,31,45,15,69,16,,55,49,44,30,8,1951
7/1,14,,12,10,31,35,91,14,97,36,15,60,91,50,72,44,8,31,26,53,52,33,22,11,6,42,94,8,44,92,13,97,14,30,,13,83,21,16,,89,,38,33,38,,43,51,35,76,,1884
7/2,65,7,10,59,17,10,35,46,,30,12,45,,8,39,39,54,10,38,48,31,18,9,14,42,52,,6,60,,30,,16,20,4,11,57,31,30,6,34,40,16,25,64,,61,33,44,24,9,1359
7/3,35,2,55,27,27,15,17,71,51,14,11,12,15,9,16,73,40,50,43,,10,21,8,61,88,25,7,6,81,17,25,22,15,17,15,16,35,57,9,88,89,7,36,9,80,,10,37,9,7,29,1519
7/4,77,,38,18,84,25,56,89,4,91,48,87,,82,74,45,9,50,22,92,83,84,77,84,82,45,77,60,12,59,89,89,88,36,11,61,71,90,51,11,9,87,79,61,68,98,63,90,64,61,,2931
7/5,61,12,25,15,11,23,69,33,85,37,28,82,22,8,16,58,9,20,55,,26,34,21,43,50,20,,9,56,7,15,6,50,37,73,12,73,60,21,58,54,,57,35,50,,41,28,24,68,14,1711
7/6,25,22,46,46,21,66,27,28,,14,24,61,6,9,16,54,72,7,33,,11,11,11,65,8,22,4,8,11,99,22,,10,27,,15,36,42,19,86,14,6,20,9,64,,29,10,44,64,8,1352
7/7,69,8,18,7,39,24,64,40,87,23,10,63,21,44,22,62,8,28,6,3,54,64,14,29,56,52,,87,35,,7,73,14,55,59,70,7,37,22,,38,84,20,59,50,,50,63,55,27,,1827
7/8,12,10,72,10,16,17,16,55,,12,17,68,,16,59,13,17,15,69,45,38,92,15,18,9,61,34,15,11,82,38,83,15,13,,9,8,45,30,7,16,13,78,31,23,,33,59,21,23,81,1540
7/9,43,87,10,31,18,17,44,42,70,9,9,48,17,42,12,28,29,56,44,50,28,9,10,84,55,9,,52,13,6,56,51,21,15,2,8,25,7,9,55,52,86,35,14,12,,9,52,9,8,25,1523
7/10,81,19,18,69,13,89,55,54,91,38,16,36,,11,40,12,63,65,48,3,71,28,17,32,35,43,,89,27,,50,5,45,51,,7,8,55,15,,16,75,24,14,46,,17,17,15,9,9,1641
